Set Name,Cycle,Time(ms),ZTip Displacement(um),ZBase Displacement(um),Current Size (um),ZForce(uN),XTip Displacement(um),XBase Displacement(um),XForce(uN),Temperature (°C)
Data1,1-Compress,0,0.375,0,226.725,-11.3424,0.375,-0,-11.3424,37.1
Data1,1-Compress,200,-0.375,0,227.475,2.26848,-0.375,-0,14.3671,37.1
Data1,1-Compress,400,0.375,1,226.725,12.8547,0.375,-0,-11.3424,37.1
Data1,1-Compress,600,0.5,2.5,226.6,42.345,-0.375,-0,11.3424,37.1
Data1,1-Compress,800,0.625,3.5,226.475,74.86,-0.375,0.1,11.3424,37.1
Data1,1-Compress,1000,1.375,4.6,225.725,91.4955,-0.375,-0,11.3424,37.1
Data1,1-Compress,1200,1.5,4,225.6,78.6408,0.375,0.1,-11.3424,37.1
Data1,1-Compress,1400,1.5,4.4,225.6,78.6408,-0.375,-0,11.3424,37.1
Data1,1-Compress,1600,1.625,5.9,225.475,111.156,-0.375,-0,11.3424,37
Data1,1-Compress,1800,1.625,6.9,225.475,147.452,-0.5,-0,15.1232,37
Data1,1-Compress,2000,2.375,8,224.725,167.112,-0.375,-0,11.3424,37
Data1,1-Compress,2200,2.5,7.5,224.6,151.232,-0.375,-0,14.3671,37
Data1,1-Compress,2400,2.375,7.6,224.725,158.038,-0.375,-0,11.3424,37
Data1,1-Compress,2600,2.5,9,224.6,181.479,-0.5,-0,15.1232,37
Data1,1-Compress,2800,3.5,10.3,223.6,190.553,0.375,-0,-11.3424,37
Data1,1-Compress,3000,3.375,10.1,223.725,197.358,-0.375,-0,14.3671,37
Data1,1-Compress,3200,3.375,10.8,223.725,215.506,-0.375,0.1,14.3671,37
Data1,1-Compress,3400,3.5,12.5,223.6,260.12,-0.375,-0,14.3671,37
Data1,1-Compress,3600,4.375,13.8,222.725,269.95,-0.375,-0,11.3424,37
Data1,1-Compress,3800,4.375,13.9,222.725,297.171,-0.375,-0,11.3424,37
Data1,1-Compress,4000,3.625,13.6,223.475,301.708,-0.375,0.1,11.3424,37
Data1,1-Compress,4200,4.5,15.1,222.6,305.489,-0.375,-0,14.3671,37
Data1,1-Compress,4400,4.5,16.4,222.6,347.834,-0.5,0.1,15.1232,37
Data1,1-Compress,4600,5.375,17.5,221.725,351.615,-0.25,-0,10.5863,37
Data1,1-Compress,4800,5.375,17.6,221.725,381.862,-0.375,-0,11.3424,37
Data1,1-Compress,5000,5.375,17.4,221.725,363.714,-0.375,0.1,11.3424,37
Data1,1-Compress,5200,5.375,18.2,221.725,378.837,-0.375,-0,11.3424,37
Data1,1-Compress,5400,5.5,19.5,221.6,408.327,-0.5,-0,18.1479,37
Data1,1-Compress,5600,6.5,21,220.6,420.426,-0.5,0.1,18.1479,37
Data1,1-Compress,5800,6.375,20.7,220.725,436.305,0.375,-0,-11.3424,37
Data1,1-Compress,6000,6.375,21.2,220.725,439.33,-0.375,-0,14.3671,37
Data1,1-Compress,6200,6.5,22.1,220.6,462.771,-0.5,0.1,15.1232,37
Data1,1-Compress,6400,6.625,23.5,220.475,498.31,-0.375,-0,11.3424,37
Data1,1-Compress,6600,7.375,24.2,219.725,508.897,-0.375,-0,11.3424,37
Data1,1-Compress,6800,6.5,24.5,220.6,532.338,-0.5,-0,15.1232,37
Data1,1-Compress,7000,7.5,26.1,219.6,544.436,-0.5,0.1,18.1479,37
Data1,1-Compress,7200,7.5,27.2,219.6,586.781,-0.5,0.1,15.1232,37
Data1,1-Compress,7400,8.5,28.5,218.6,592.831,-0.5,0.1,18.1479,37
Data1,1-Compress,7600,8.5,28.2,218.6,595.855,-0.5,-0,18.1479,37
Data1,1-Compress,7800,8.5,28.6,218.6,598.88,-0.5,0.1,18.1479,37
Data1,1-Compress,8000,8.5,29.7,218.6,629.126,-0.5,-0,18.1479,37
Data1,1-Compress,8200,8.5,31,218.6,665.422,-0.5,0.1,18.1479,37
Data1,1-Compress,8400,9.5,31.7,217.6,674.496,-0.5,-0,15.1232,37
Data1,1-Compress,8600,9.5,31.4,217.6,662.398,0.5,0.1,-12.0986,37
Data1,1-Compress,8800,9.5,31.8,217.6,665.422,-0.5,-0,18.1479,37
Data1,1-Compress,9000,9.5,33,217.6,695.669,-0.5,0.1,18.1479,37
Data1,1-Compress,9200,9.625,34.5,217.475,737.258,-0.5,0.1,15.1232,37
Data1,1-Compress,9400,10.5,35.6,216.6,759.186,-0.5,0.1,18.1479,37
Data1,1-Compress,9600,10.5,35.8,216.6,756.162,-0.5,0.1,18.1479,37
Data1,1-Compress,9800,10.5,37.1,216.6,795.482,-0.5,0.1,18.1479,37
Data1,1-Compress,10000,11.5,38.3,215.6,795.482,-0.5,0.1,15.1232,37
Data1,1-Compress,10200,11.375,38.5,215.725,820.435,-0.5,0.1,18.1479,37
Data1,1-Compress,10400,11.375,38.5,215.725,820.435,-0.375,0.1,14.3671,37
Data1,1-Compress,10600,11.5,39.2,215.6,828.753,-0.5,0.1,18.1479,37
Data1,1-Compress,10800,11.5,40.5,215.6,865.049,-0.5,0.1,15.1232,37
Data1,1-Compress,11000,12.5,42,214.6,877.147,-0.5,0.1,18.1479,37
Data1,1-Compress,11200,12.5,42.2,214.6,904.369,-0.5,0.1,18.1479,37
Data1,1-Compress,11400,12.5,42.6,214.6,901.345,-0.5,0.1,18.1479,37
Data1,1-Compress,11600,12.5,44,214.6,940.665,-0.5,0.1,18.1479,37
Data1,1-Compress,11800,13.375,45.3,213.725,947.47,-0.5,0.1,18.1479,37
Data1,1-Compress,12000,13.5,45.3,213.6,961.837,-0.5,0.1,18.1479,37
Data1,1-Compress,12200,13.5,45,213.6,958.813,-0.5,0.1,18.1479,37
Data1,1-Compress,12400,13.375,46.4,213.725,980.742,-0.375,0.1,14.3671,37
Data1,1-Compress,12600,13.625,47.7,213.475,1012.5,-0.375,0.1,14.3671,37
Data1,1-Compress,12800,14.5,49.1,212.6,1034.43,-0.5,-0,18.1479,37
Data1,1-Compress,13000,14.5,50.1,212.6,1076.77,-0.5,0.1,18.1479,37
Data1,1-Compress,13200,14.5,50,212.6,1073.75,-0.5,0.1,18.1479,37
Data1,1-Compress,13400,14.5,51.4,212.6,1104,-0.5,0.1,18.1479,37.1
Data1,1-Compress,13600,15.5,52.7,211.6,1107.02,-0.5,0.1,18.1479,37.1
Data1,1-Compress,13800,15.25,52.3,211.85,1123.66,-0.5,0.1,18.1479,37.1
Data1,1-Compress,14000,14.625,52.1,212.475,1133.49,-0.375,0.1,14.3671,37.1
Data1,1-Compress,14200,15.375,53.3,211.725,1125.92,-0.5,0.1,18.1479,37.1
Data1,1-Compress,14400,15.625,54.7,211.475,1163.73,-0.625,0.1,21.9287,37.1
Data1,1-Compress,14600,16.375,56.1,210.725,1186.42,-0.375,0.1,14.3671,37.1
Data1,1-Compress,14800,16.5,55.6,210.6,1185.66,-0.5,0.1,18.1479,37.1
Data1,1-Compress,15000,16.375,55.9,210.725,1186.42,-0.5,0.1,18.1479,37.1
